name,filename,summary
Pre-Geri Geran Dari Gara,PGGDG.rar,I think one can guess why this 2000-era game was added.
Rancid Saga,RanSag.rar,"It was custom back in the early days of the community to make games with infamous community members as villains. Three were advertised ( Rancid Saga, Wishmoo Saga, Advocate Saga ), but this was the only one to see release."
Redmoon Saga,Redmoon Saga.rar,Was arguably the most popular Rm2k game in the community in the days before ABL.
River Dreams,River Dreams.rar,"Unremarkable game overall, and only included because it was the first game I ever publicly reviewed. ( Unfortunately, I've lost the review. )"
Robocks,ROBOCKS.rar,"First completed English Rm2k game that wasn't ""Hi, I'm Alex, welcome to my RTP quest!"""
Romancing Walker,Romancing Walker.rar,"The one and only dating/fantasy RPG localized into Engrish. But hey, it's better than my Japanese."
Rose Chronicles,RoseChronicles.rar,"Like Riviera, only without the cutesy dating sim elements, and made with Rm2k3, and angsty. Sadly, without Fia the Riviera formula just doesn't work for me ..."
Runic Legacy,Runic Legacy.rar,One of the first games to feature a CBS that was actually decent.
Se7en,Seven.rar,"I never got the concept of Rm2k/3 survival/horror games. Actually, I never got the concept of this genre in general, but roaming around a world full of stock lighting effects, Suikoden 2 rips, and standard off-the-net moans and other sound effects just doesn't appeal to me. But it might do it for you. And this game managed to keep my attention for a little longer than most do."
Seekers of the Sun,Seekers of the Sun.rar,"IMO, this game is heavily overrated. It's not a completely bad way to waste an hour and a half, though."
Silenced Breakthrough,Silenced Breakthrough.rar,Solid enough bread and butter RPG put out by Dragonshadow.
Soul's Unrest,Soul's Unrest.rar,Included here to get a rise out of Ebanis.
Starlancer Six,s6.rar,"This was an attempt to fuse a RPG with a generic magical girl anime. The experiment didn't last long, but you can download the results here."
Sword of Shin,SwordOfShin.rar,"Completely unremarkable and forgettable. But it's not altogether bad, either, and shows a lot of improvement over previous versions."
Tales of Suneria,suneria.rar,"Had a lot of promise, a CT-style CBS was being developed for it but was never finished. Cancelled when Maladroit Him followed LLMinami around begging her for cheap sex."
Tales of Suneria 2 CBS,ToS2.rar,"This was a Chrono Trigger style CBS LLMinami made for her Tales of Suneria series. As far as I know, this was the first serious attempt at such a CBS in Rm2k."
Tales of the Wind,Tales of the Wind.rar,"Made in 2000, this game can still hold its own graphically with most games of today."
Tarion Star,TarionStar.rar,"Badluck's first game, which wanted so badly to be Until My Finest Hour, but bugs got in the way."
Tenora,Tenora.rar,"Dreaded's first game, put out a few months before Diary of a Madman. Let's just say Dreaded improved a LOT."
Tetris,tetris.rar,"An adaptation of tetris in Rm2k by Laughy. A coding exhibition, IMO."
The Ruiners,ruiners.rar,Classic 2001-era comedy RPG.
Three the Hard Way,threecomplete.rar,One of the main projects of this site.
Tierra Azul,Tierra Azul.rar,An old Rm2k Library game that never got the publicity it deserved.
Tyranny's Puppet,Tyranny's Puppet.rar,"This was actually the pre-teaser, code named ""Triple Quest"". The actual game was never released because of Evercrack."
Tyrant God Saga: Altered Perception,TGSAP.rar,Still altering perceptions after all these years. Still one of the more innovative Rm2k games.
Unforgiven Quest,Unforgiven Quest.rar,Remade several times in 2000 and was very popular at rpgmaker.net.
Until My Finest Hour,UMFH.rar,"This was the prequel to In the Name of the Rose, created afterward. And when it was released, you needed a strong computer to handle the tons of picture effects. The presentation was over the top overdone, but this style made a lasting effect on the community. These days, you can probably run the game so it'll be fine, if short."
Vampyr's Kiss CBS,Vampyr's Kiss.rar,"Lots of hype, lots of anticipation ... one CBS to show for it."
What the Hell,WtH.rar,I mean honestly.
Zero Run,0Run.rar,The game Shadowtext REALLY wants you to forget.
Zero Run Gaiden: Exodus,ZRG Exodus.rar,The game Shadowtext wants you to forget.
